demand_unit_code,year,water_demand
UDA01,2033,14523841.844
UDA02,2033,19211227.957
UDA03,2033,24647387.666
UDA04,2033,15595562.884
UDA05,2033,7891798.338
UDA06,2033,852702.412
UDA07,2033,57432016.614
UDA08,2033,3679980.392
UDA09,2033,3518251.797
UDA10,2033,21800000
UDA11,2033,17832580.169
UDA12,2033,12009656.052
UDA13,2033,5549121.569
UDA14,2033,1548443.599
UDA15,2033,6052415.301807
UDA16,2033,9215188.98936942
UDA17,2033,6369187.1108213
UDA18,2033,4187075.23024077
UDA20,2033,15168764.8095615
UDA21,2033,4527297.80748351
UDA22,2033,44869005.1841136
UDA25,2033,17319925.7651558
UDA26,2033,16375308.1221572
UDA27,2033,5065372.81685038
UDA28,2033,20963778.7993846
UDA29,2033,3522369.33426271
UDA30,2033,5443894.37251955
UDA31,2033,21863294.0279429
UDA32,2033,54736491.3376532
UDA34,2033,5063074.29703623
UDA36,2033,8448107.61326232
UDA37,2033,21364157.3893582
UDA38,2033,14338547.4057205
UDA39,2033,32243407.6929413
UDA40,2033,13092313.9695882
UDA41,2033,4329790.96433895
UDA42,2033,3927807.34592186
UDA43,2033,2937819.02906325
UDA44,2033,8128352.86262384
UDA45,2033,18083531.2980597
UDA46,2033,105395255.274268
UDA48,2033,11567193.9792871
UDA51,2033,9115749.44951536
UDA52,2033,17242831.7716865
UDA53,2033,59539773.3481759
UDA55,2033,3152629.15430992
UDA56,2033,57945340.7417354
UDA57,2033,87251463.7799083
UDA58,2033,131798187.011388
UDA60,2033,11057720.4226898
UDA61,2033,46642706.6450149
UDA63,2033,54405309.0504441
UDA64,2033,56866371.7402742
UDA65,2033,68737268.5952196
UDA66,2033,6634310.11220334
UDA67,2033,29611597.6044616
UDA68,2033,27926669.2723247
UDA69,2033,25074464.0621596
UDA71,2033,14098408.6440315
UDA72,2033,43076688.0160842
UDA73,2033,10517918.3341767
UDA75,2033,39447244.4458183
UDA54,2033,45700000
UDA70,2033,13100000
UDU01,2012,18507332
UDU02,2012,18183296
UDU03,2012,48279223
UDU04,2012,36465168
UDU05,2012,42073411
UDU06,2012,10853615
UDU07,2012,34982206
UDU08,2012,5644908
UDU09,2012,3218880
UDU10,2012,2027659
UDU11,2012,4366414
UDU12,2012,1183460
UDU13,2012,890324
UDU14,2012,5000000
UDU01,2015,19116874
UDU02,2015,18236290
UDU03,2015,50429331
UDU04,2015,38455545
UDU05,2015,43168654
UDU06,2015,11244295
UDU07,2015,33296699
UDU08,2015,5632053
UDU09,2015,3283591
UDU10,2015,1995264
UDU11,2015,4283291
UDU12,2015,1250045
UDU13,2015,940899
UDU14,2015,5000000
UDU01,2021,19667371
UDU02,2021,19407397
UDU03,2021,53661715
UDU04,2021,40628808
UDU05,2021,40152976
UDU06,2021,12149220
UDU07,2021,33174122
UDU08,2021,5277365
UDU09,2021,3315513
UDU10,2021,1213103
UDU11,2021,2323586
UDU12,2021,1387335
UDU13,2021,979257
UDU14,2021,5000000
UDU01,2027,20771152
UDU02,2027,20885860
UDU03,2027,57982846
UDU04,2027,45539080
UDU05,2027,37328214
UDU06,2027,13467091
UDU07,2027,33692484
UDU08,2027,5254929
UDU09,2027,3274481
UDU10,2027,1261992
UDU11,2027,2324981
UDU12,2027,1530976
UDU13,2027,1096129
UDU14,2027,5000000
UDU01,2033,20635137.557
UDU02,2033,20653750.984
UDU03,2033,58499314.394
UDU04,2033,48283338.539
UDU05,2033,40656688.942
UDU06,2033,13264980.542
UDU07,2033,33763783.054
UDU08,2033,5158870.636
UDU09,2033,3432812.193
UDU10,2033,1191120.626
UDU11,2033,2244345.488
UDU12,2033,1458984.791
UDU13,2033,1083298.418
UDU14,2033,5000000
UDI01,2012,0
UDI02,2012,500000
UDI03,2012,3400000
UDI04,2012,800000
UDI05,2012,2400000
UDI06,2012,100000
UDI07,2012,1600000
UDI01,2015,0
UDI02,2015,600000
UDI03,2015,3600000
UDI04,2015,800000
UDI05,2015,2300000
UDI06,2015,100000
UDI07,2015,1600000
UDI01,2021,0
UDI02,2021,600000
UDI03,2021,4000000
UDI04,2021,900000
UDI05,2021,2100000
UDI06,2021,200000
UDI07,2021,1600000
UDI01,2027,0
UDI02,2027,800000
UDI03,2027,4500000
UDI04,2027,1000000
UDI05,2027,2200000
UDI06,2027,100000
UDI07,2027,1600000
UDI01,2033,0
UDI02,2033,1000000
UDI03,2033,5100000
UDI04,2033,1000000
UDI05,2033,2400000
UDI06,2033,200000
UDI07,2033,1600000
UDRG01,2012,2360000
UDRG02,2012,464000
UDRG04,2012,2040000
UDRG06,2012,320000
UDRG07,2012,5008000
UDRG08,2012,360000
UDRG09,2012,400000
UDRG10,2012,400000
UDRG01,2015,2360000
UDRG02,2015,464000
UDRG04,2015,2040000
UDRG06,2015,320000
UDRG07,2015,5008000
UDRG08,2015,360000
UDRG09,2015,400000
UDRG10,2015,400000
UDRG01,2021,2360000
UDRG02,2021,464000
UDRG04,2021,2040000
UDRG06,2021,320000
UDRG07,2021,5008000
UDRG08,2021,360000
UDRG09,2021,400000
UDRG10,2021,400000
UDRG01,2027,2360000
UDRG02,2027,464000
UDRG04,2027,2040000
UDRG06,2027,320000
UDRG07,2027,5008000
UDRG08,2027,360000
UDRG09,2027,400000
UDRG10,2027,400000
UDRG01,2033,3780000
UDRG02,2033,840000
UDRG04,2033,3152000
UDRG06,2033,488000
UDRG07,2033,7389000
UDRG08,2033,1100000
UDRG09,2033,967000
UDRG10,2033,1780000
HUMEDAL01,2012,204000
HUMEDAL02,2012,2460000
HUMEDAL03,2012,28596000
HUMEDAL04,2012,1956000
HUMEDAL05,2012,168000
HUMEDAL06,2012,1500000
HUMEDAL07,2012,972000
HUMEDAL08,2012,2100000
HUMEDAL09,2012,6792000
HUMEDAL10,2012,900000
HUMEDAL11,2012,1200000
HUMEDAL12,2012,600000
HUMEDAL13,2012,3612000
