uda,hm3,cost
UDA08,2.32715243393281,2188338.22351668
UDA08,2.4756429624748,2229490.34593701
UDA08,2.62752010938685,2266900.53540982
UDA08,2.78381790063298,2302967.43794856
UDA08,2.94549556029893,2338663.56580236
UDA08,3.11161733155487,2374359.68476511
UDA08,3.28218321440081,2410055.81261891
UDA08,3.45719320883673,2445751.93158166
UDA08,3.63669864948497,2481448.05943546
UDA08,3.68,2489931.2766257
UDA09,0,0
UDA09,0.00306086912949,109127.721095419
UDA09,0.012243476517961,218255.442190839
UDA09,0.026836204305202,298133.943910006
UDA09,0.046912038938415,372838.024616071
UDA09,0.073054871995208,440025.993050022
UDA09,0.106975323331853,488471.290571582
UDA09,0.147475959048959,530592.801935379
UDA09,0.189983722064092,571218.027302346
UDA09,0.237481933406589,611568.537597445
UDA09,0.290257977212307,651919.047892543
UDA09,0.348311853481243,692269.548390385
UDA09,0.411643562213399,732620.058685483
UDA09,0.480253103408773,772970.568980581
UDA09,0.554140477067367,813321.069478423
UDA09,0.633271470792055,853671.579773521
UDA09,0.717712228550613,894022.09006862
UDA09,0.807430818772389,934372.600363718
UDA09,0.902427241457385,974723.100861559
UDA09,1.0027014966056,1015073.61115666
UDA09,1.10825358421703,1055424.12145176
UDA09,1.21908350429169,1095774.63174685
UDA09,1.33519125682956,1136125.1322447
UDA09,1.45657684183065,1176475.64253979
UDA09,1.58236442192855,1216147.83978208
UDA09,1.70805392648803,1251893.73750131
UDA09,1.83039973943511,1282231.8043689
UDA09,1.95591590118248,1310631.30769012
UDA09,2.08577019488535,1338150.93900084
UDA09,2.21787338349261,1364651.58705622
UDA09,2.35675518838366,1390126.3056014
UDA09,2.50304967931855,1414309.08932554
UDA09,2.6537872202268,1438491.86325242
UDA09,2.80882411904049,1462674.64697656
UDA09,2.96830862948048,1486857.42090344
UDA09,3.13208793617295,1511040.19483032
UDA09,3.30031941614468,1535222.97855446
UDA09,3.47292552129552,1559405.75248134
UDA09,3.52,1566066.75537643
UDA10,0,0
UDA10,0.067110077708035,762428.52042857
UDA10,0.172292263903707,1524857.04085714
UDA10,0.31114928643198,2083451.53775857
UDA10,0.484085168161799,2605376.8604563
UDA10,0.803770612185343,3114083.88166571
UDA10,1.2500655482797,3618159.36429845
UDA10,1.68402134408003,4055334.00899703
UDA10,2.08866669012044,4388866.72096874
UDA10,2.52824122256332,4682628.14067282
UDA10,2.97623916202968,4966160.33297549
UDA10,3.45437203978504,5248071.99401768
UDA10,3.96532472873173,5529983.66639487
UDA10,4.50912776548196,5811895.33877205
UDA10,5.08572242578151,6093806.99981424
UDA10,5.6951368972724,6375718.67219143
UDA10,6.33737117995463,6657630.33323362
UDA10,7.01242527382821,6939542.00561081
UDA10,7.72034146035616,7221453.666653
UDA10,8.46103752558259,7503365.33903018
UDA10,9.23455340200036,7785277.00007237
UDA10,10.0131172153098,8064477.97468185
UDA10,10.7216535299622,8296084.35185067
UDA10,11.6468306652956,8526420.43799219
UDA10,12.5670655673949,8726625.7985979
UDA10,13.4807985200684,8904131.74045952
UDA10,14.4256788171734,9081637.69365615
UDA10,15.4018262561885,9259143.63551777
UDA10,17.2035662402523,9431974.60307427
